,0,1,2,3
223,283320,2018/10/19 20:00,2.62185,20.9148
224,282532,2018/10/19 20:00,1.45766,25.107
225,282298,2018/10/19 20:00,2.64388,13.6644
226,282870,2018/10/19 20:00,1.43224,23.7023
227,283322,2018/10/19 20:00,1.22839,40.8682
228,282435,2018/10/19 20:00,1.31026,33.1036
229,282634,2018/10/19 20:00,1.65745,21.0261
230,283019,2018/10/19 20:00,2.3233,14.7535
231,282223,2018/10/19 20:00,1.15423,90.0259
232,283367,2018/10/19 20:00,1.30229,30.45
233,283186,2018/10/19 20:00,1.50467,28.192
234,282183,2018/10/19 20:00,3.86078,9.39274
235,283206,2018/10/19 20:00,1.29182,29.7348
236,283369,2018/10/19 20:00,1.88386,16.4506
237,283228,2018/10/19 20:00,1.31644,40.9092
238,282185,2018/10/19 20:00,4.06018,8.27587
239,283208,2018/10/19 20:00,1.25077,38.9799
240,282349,2018/10/19 20:00,1.48515,27.9578
241,283307,2018/10/19 20:00,1.3064,35.7009
242,282046,2018/10/19 20:00,1.88047,17.2236
243,282699,2018/10/19 20:00,4.21308,9.49437
244,283149,2018/10/19 20:00,1.23454,37.5702
245,283371,2018/10/19 20:00,2.6147,15.224
246,282739,2018/10/19 20:00,1.72524,19.1456
247,282187,2018/10/19 20:00,1.74694,17.6553
248,283210,2018/10/19 20:00,1.5623,27.6787
249,282351,2018/10/19 20:00,1.97068,20.6299
250,282879,2018/10/19 20:00,3.25655,10.4203
251,283067,2018/10/19 20:00,1.54154,32.1535
252,282922,2018/10/19 20:00,1.1208,38.5796
253,282384,2018/10/19 20:00,1.46904,32.0789
254,283193,2018/10/19 20:00,1.38366,31.4499
255,282544,2018/10/19 20:00,1.6136,24.0467
256,283069,2018/10/19 20:00,1.72045,28.0309
257,282924,2018/10/19 20:00,1.2784,36.6306
258,282546,2018/10/19 20:00,1.47974,22.9388
259,282664,2018/10/19 20:00,1.2872,38.6932
260,282566,2018/10/19 20:00,1.48677,27.1466
261,282213,2018/10/19 20:00,1.57138,22.0819
262,283071,2018/10/19 20:00,1.32879,27.0302
263,282926,2018/10/19 20:00,1.15243,50.0176
264,282568,2018/10/19 20:00,1.40358,27.5932
265,282450,2018/10/19 20:00,2.29869,16.3992
266,282237,2018/10/19 20:00,1.54026,26.3521
267,282570,2018/10/19 20:00,1.52944,18.6978
268,282629,2018/10/19 20:00,1.5014,30.6205
269,282650,2018/10/19 20:00,1.66439,28.216
270,282452,2018/10/19 20:00,1.70353,21.2141
271,282454,2018/10/19 20:00,1.97325,15.1588
272,282364,2018/10/19 20:00,1.97059,19.4222
273,281966,2018/10/19 20:00,1.51144,20.3595
274,282456,2018/10/19 20:00,1.46891,25.0472
275,282958,2018/10/19 20:00,1.1153,48.5487
276,282853,2018/10/19 20:00,1.38162,26.7223
277,282876,2018/10/19 20:00,1.77721,21.0235
278,283063,2018/10/19 20:00,3.30247,12.0965
279,282678,2018/10/19 20:00,1.69814,20.1355
280,282984,2018/10/19 20:00,1.76815,23.2753
281,283065,2018/10/19 20:00,1.67557,28.0154
282,282401,2018/10/19 20:00,1.722,19.701
283,283392,2018/10/19 20:00,1.53163,29.8466
284,282682,2018/10/19 20:00,2.20264,15.3656
285,283394,2018/10/19 20:00,1.57046,29.2552
286,281915,2018/10/19 20:00,1.47002,32.1385
287,282091,2018/10/19 20:00,1.8845,23.827
288,283293,2018/10/19 20:00,1.3205,36.9443
289,282252,2018/10/19 20:00,2.16976,17.3753
290,283396,2018/10/19 20:00,1.12873,48.7537
291,282331,2018/10/19 20:00,1.5973,22.3536
292,282254,2018/10/19 20:00,1.98893,15.8839
293,282490,2018/10/19 20:00,1.77503,20.5187
294,282510,2018/10/19 20:00,2.09858,17.8918
295,282256,2018/10/19 20:00,1.82402,17.5547
296,282929,2018/10/19 20:00,3.23578,18.6386
297,282258,2018/10/19 20:00,1.89211,17.9478
298,282976,2018/10/19 20:00,1.50705,29.1662
299,282280,2018/10/19 20:00,1.41278,29.2672
300,282913,2018/10/19 20:00,1.35194,29.0522
301,282061,2018/10/19 20:00,1.29144,38.4152
302,282122,2018/10/19 20:00,1.29153,46.7893
303,282242,2018/10/19 20:00,1.69117,23.0775
304,283386,2018/10/19 20:00,1.27953,48.7872
305,282833,2018/10/19 20:00,1.37235,30.1066
306,282655,2018/10/19 20:00,1.57763,26.214
307,282244,2018/10/19 20:00,1.73856,19.2441
308,283388,2018/10/19 20:00,1.1536,48.6703
309,282717,2018/10/19 20:00,1.71479,20.4242
310,283082,2018/10/19 20:00,1.25401,48.1397
311,282126,2018/10/19 20:00,1.35554,40.0713
312,282657,2018/10/19 20:00,1.54252,33.6177
313,283390,2018/10/19 20:00,1.17404,50.258
314,283250,2018/10/19 20:00,1.32207,37.2269
315,282819,2018/10/19 20:00,1.37767,27.9114
316,282901,2018/10/19 20:00,1.55525,28.0355
317,283270,2018/10/19 20:00,1.33752,34.2427
318,283252,2018/10/19 20:00,1.67707,29.4497
319,282230,2018/10/19 20:00,2.62327,14.3213
320,282171,2018/10/19 20:00,1.4378,27.6151
321,283272,2018/10/19 20:00,1.45824,32.9194
322,282762,2018/10/19 20:00,1.41507,31.0709
323,283254,2018/10/19 20:00,1.73459,33.8485
324,282744,2018/10/19 20:00,1.7035,23.1043
325,282173,2018/10/19 20:00,2.13828,17.0046
326,283274,2018/10/19 20:00,1.79468,20.5717
327,282764,2018/10/19 20:00,1.28778,31.3844
328,283256,2018/10/19 20:00,1.48772,32.2271
329,282388,2018/10/19 20:00,1.40977,28.24
330,282175,2018/10/19 20:00,2.57468,13.7998
331,283238,2018/10/19 20:00,1.25938,39.1289
332,283258,2018/10/19 20:00,4.68935,10.4946
333,283074,2018/10/19 20:00,1.52047,27.6037
334,282177,2018/10/19 20:00,1.97797,17.0954
335,283240,2018/10/19 20:00,1.64244,25.235
336,283260,2018/10/19 20:00,3.6013,17.2562
337,282848,2018/10/19 20:00,1.64105,24.9812
338,282973,2018/10/19 20:00,1.32888,45.1321
339,283097,2018/10/19 20:00,1.77048,25.345
340,282179,2018/10/19 20:00,2.39313,11.689
341,283242,2018/10/19 20:00,1.29283,35.2383
342,283077,2018/10/19 20:00,1.55312,31.5435
343,283058,2018/10/19 20:00,1.24349,32.1254
344,283262,2018/10/19 20:00,1.31822,37.8493
345,283365,2018/10/19 20:00,1.55368,23.2768
346,283184,2018/10/19 20:00,1.88736,22.5568
347,282181,2018/10/19 20:00,2.03336,15.0193
348,283244,2018/10/19 20:00,1.43955,37.6999
349,283079,2018/10/19 20:00,2.08249,21.877
350,283165,2018/10/19 20:00,1.40544,37.226
351,282873,2018/10/19 20:00,1.33314,29.029
352,283264,2018/10/19 20:00,2.04876,23.8723
353,282537,2018/10/19 20:00,1.71956,20.3939
354,283246,2018/10/19 20:00,2.14144,20.7783
355,283081,2018/10/19 20:00,1.25478,48.3763
356,282499,2018/10/19 20:00,1.42028,28.245
357,283103,2018/10/19 20:00,1.45121,30.9208
358,283266,2018/10/19 20:00,1.62131,36.0317
359,283002,2018/10/19 20:00,1.35381,19.0801
360,282677,2018/10/19 20:00,1.71327,19.9858
361,282539,2018/10/19 20:00,1.84437,16.2547
362,283248,2018/10/19 20:00,1.20283,41.864
363,283349,2018/10/19 20:00,1.37745,28.0764
364,282266,2018/10/19 20:00,1.2873,24.2057
365,283268,2018/10/19 20:00,1.4614,29.0876
366,282541,2018/10/19 20:00,1.67922,21.5492
367,283128,2018/10/19 20:00,1.25961,50.7441
368,282068,2018/10/19 20:00,1.46468,28.9205
369,282542,2018/10/19 20:00,1.33093,32.8286
370,282523,2018/10/19 20:00,1.55166,21.6302
371,281991,2018/10/19 20:00,1.12847,29.4994
372,282288,2018/10/19 20:00,2.54434,14.6318
373,283130,2018/10/19 20:00,1.70888,21.7776
374,282051,2018/10/19 20:00,1.32116,34.0824
375,282525,2018/10/19 20:00,1.67475,19.7997
376,283334,2018/10/19 20:00,1.6731,26.1383
377,283154,2018/10/19 20:00,1.11123,47.9561
378,282053,2018/10/19 20:00,1.49277,28.4052
379,282073,2018/10/19 20:00,1.55475,28.0781
380,283030,2018/10/19 20:00,1.36656,33.1512
381,282214,2018/10/19 20:00,2.46407,13.8271
382,282509,2018/10/19 20:00,3.09909,11.2278
383,282746,2018/10/19 20:00,1.656,21.5334
384,282055,2018/10/19 20:00,1.21427,35.612
385,282648,2018/10/19 20:00,1.32243,28.806
386,282360,2018/10/19 20:00,2.39327,14.152
387,282590,2018/10/19 20:00,1.40455,31.1393
388,282119,2018/10/19 20:00,1.41373,32.1691
389,282828,2018/10/19 20:00,1.46803,25.9846
390,282362,2018/10/19 20:00,2.06612,17.41
391,283139,2018/10/19 20:00,1.43514,30.8542
392,282849,2018/10/19 20:00,1.79912,20.8805
393,282693,2018/10/19 20:00,1.56231,24.9531
394,282515,2018/10/19 20:00,1.46515,28.9722
395,282713,2018/10/19 20:00,1.82716,21.3141
396,282517,2018/10/19 20:00,1.98766,17.8955
397,282614,2018/10/19 20:00,1.57151,27.075
398,283205,2018/10/19 20:00,1.42987,29.7506
399,282635,2018/10/19 20:00,1.39568,27.4824
400,281947,2018/10/19 20:00,1.23121,52.2922
401,282519,2018/10/19 20:00,1.93414,19.7379
402,282398,2018/10/19 20:00,1.41957,34.4144
403,283169,2018/10/19 20:00,1.49829,37.6264
404,282066,2018/10/19 20:00,1.27768,42.869
405,282961,2018/10/19 20:00,1.30966,37.6612
